customer_id,first_name,last_name,gender,age,phone,email,city,signup_date
1,Vicki,Torres,Male,25,01082118879,vicki.torres268@hotmail.com,Alexandria,2025-02-03
2,Bradley,Park,Male,24,01536753379,bradley.park930@hotmail.com,Giza,2024-06-06
3,Michael,Bryant,Female,33,01299175536,michael.bryant355@hotmail.com,Cairo,2025-07-27
4,Matthew,Tyler,Female,18,01233612065,matthew.tyler107@hotmail.com,Cairo,2024-02-07
5,Megan,Morgan,Male,27,01068273205,megan.morgan97@outlook.com,Mansoura,2025-04-17
6,Brian,Gonzalez,Male,18,01206070476,brian.gonzalez717@yahoo.com,Tanta,2024-01-25
7,Dorothy,Hall,Male,28,01584612447,dorothy.hall922@outlook.com,Cairo,2025-11-19
8,Bryce,Wallace,Male,27,01077996605,bryce.wallace584@gmail.com,Alexandria,2024-05-16
9,Hannah,Powers,Male,58,01511467675,hannah.powers822@hotmail.com,Cairo,2024-11-25
10,Michelle,Diaz,Male,37,01556198753,michelle.diaz720@gmail.com,Alexandria,2026-03-30
11,Nina,Jackson,Female,35,01135982622,nina.jackson435@hotmail.com,Alexandria,2023-11-10
12,Sara,Brown,Male,59,01086980546,sara.brown806@outlook.com,Giza,2024-02-08
13,Theodore,Jones,Female,58,01111337221,theodore.jones164@yahoo.com,Cairo,2024-06-04
14,Nicole,Lopez,Female,53,01192749317,nicole.lopez508@outlook.com,Cairo,2024-06-12
15,Tammy,Edwards,Female,52,01169497755,tammy.edwards777@yahoo.com,Cairo,2024-07-27
16,Lori,Russell,Male,51,01019815660,lori.russell832@hotmail.com,Cairo,2025-05-25
17,Nicholas,Miles,Male,19,01284059208,nicholas.miles358@hotmail.com,Minya,2025-10-17
18,Jason,Wong,Male,60,01196337790,jason.wong735@hotmail.com,Ismailia,2023-10-25
19,Daniel,Harris,Female,40,01299511452,daniel.harris562@gmail.com,Tanta,2023-09-18
20,Jessica,Gilbert,Male,50,01533527105,jessica.gilbert605@outlook.com,Mansoura,2024-03-14
21,Derek,Sanchez,Female,56,01020625542,derek.sanchez366@gmail.com,Ismailia,2025-09-24
22,Adrian,Woods,Male,56,01006813910,adrian.woods99@gmail.com,Giza,2023-11-12
23,Scott,Burns,Male,34,01241610292,scott.burns698@outlook.com,Alexandria,2024-04-17
24,Tony,Taylor,Male,26,01060609157,tony.taylor639@gmail.com,Alexandria,2025-01-09
25,Randy,Johnson,Male,21,01148270968,randy.johnson80@hotmail.com,Cairo,2025-03-05
26,Brady,Mcconnell,Female,30,01253631024,brady.mcconnell275@hotmail.com,Cairo,2026-01-01
27,Tracy,Griffin,Male,29,01509939022,tracy.griffin527@hotmail.com,Mansoura,2025-09-03
28,Margaret,Jones,Male,23,01266049695,margaret.jones999@yahoo.com,Ismailia,2024-06-25
29,Gina,Martin,Female,56,01141484456,gina.martin355@gmail.com,Tanta,2025-04-16
30,Carla,Wade,Female,45,01281008834,carla.wade286@outlook.com,Mansoura,2025-01-30
31,Tyler,Skinner,Female,23,01106205033,tyler.skinner103@outlook.com,Cairo,2024-06-27
32,Christopher,Mcbride,Male,29,01024737429,christopher.mcbride981@yahoo.com,Minya,2025-01-11
33,Kenneth,Garrett,Female,57,01532860368,kenneth.garrett740@hotmail.com,Alexandria,2023-11-18
34,Bryan,Martin,Female,55,01044908858,bryan.martin957@hotmail.com,Tanta,2025-02-13
35,Anthony,Kelly,Female,51,01201729394,anthony.kelly432@gmail.com,Alexandria,2025-03-06
36,Jessica,Taylor,Male,53,01539631792,jessica.taylor209@yahoo.com,Cairo,2026-04-11
37,Tracy,Benton,Female,39,01128124393,tracy.benton770@hotmail.com,Minya,2024-06-17
38,Christopher,Jackson,Female,56,01242914733,christopher.jackson520@hotmail.com,Mansoura,2024-01-16
39,Nathan,Patterson,Female,36,01525753239,nathan.patterson7@outlook.com,Zagazig,2024-11-07
40,Kevin,Coleman,Female,31,01526006945,kevin.coleman741@gmail.com,Alexandria,2026-04-11
41,Allison,Salas,Female,60,01041613765,allison.salas55@yahoo.com,Alexandria,2025-07-12
42,Maria,Harris,Female,29,01124360299,maria.harris393@gmail.com,Alexandria,2026-06-06
43,Christopher,Allison,Male,50,01258704764,christopher.allison589@hotmail.com,Alexandria,2026-02-06
44,Eric,Maynard,Male,23,01038729701,eric.maynard433@yahoo.com,Alexandria,2024-09-03
45,Aaron,Pope,Male,34,01246094446,aaron.pope112@outlook.com,Cairo,2026-04-27
46,Maurice,Aguilar,Male,41,01062759618,maurice.aguilar359@outlook.com,Cairo,2025-05-13
